いただく,頂く
シミュレーション,シュミレーション
Java,JAVA,java,ジャバ
JavaScript,JAVASCRIPT,javascript,Javascript,ジャバスクリプト
Django,DJANGO,django,ジャンゴ
十分,じゅうぶん,充分
人材,人財
ずいぶん,随分
Swift,SWIFT,swift,スウィフト,スイフト
Scala,scala,SCALA,スカラ
スキャナ,スキャナー
すぐ,直ぐ
すでに,既に
すなわち,即ち
すばらしい,素晴らしい
すべて,全て,総て,凡て
スマートフォン,スマートホン
SP,スマホ,スマフォ
Salesforce,SALESFORCE,salesforce,セールスフォース
セキュリティ,セキュリティー
ぜひ,是非
ソフトウェア,ソフトウエア
そろう,そろえる,揃う,揃える
だいたい,大体
だいぶ,大分
たくさん,沢山
ただし,但し
ただちに,直ちに
たつ,経つ
たとえ,例え,縦令,仮令
たとえば,例えば
たどる,辿る
棚卸し,棚おろし,棚卸
たぶん,多分
ためらう,躊躇う
誰,だれ
だんだん,段々
近づく,近付く
力不足,役不足
ちなみに,因みに
緻密,ち密,ちみつ
ちゅうちょ,躊躇
ちょうど,丁度
ちょっと,一寸
Twitter,TWITTER,twitter,ツイッター
ついに,遂に
次々,つぎつぎ
次に,つぎに
つくる,作る,創る,造る
つど,都度
つなぐ,つながる,繋ぐ,繋がる
常々,つねづね
つぶやく,呟く
つらい,辛い
ていねい,丁寧
ディレクター,ディレクタ
ディレクトリ,ディレクトリー
データ,データー
できる,できるだけ,出来る,出来るだけ
テクノロジー,テクノロジ
デザイナー,デザイナ
デジタル,ディジタル
デストラクタ,デストラクタ,ディストラクタ
デバッガ,デバッガー
問い合わせ,問合せ,問合わせ,問い合せ
投かん,投函
とき,時
ときどき,時々
どこ,どこか,どこも,何処,何処か,何処も
ともない,伴い
ともに,共に
取り扱い,取扱,取扱い
ない,無い
なお,尚
なおさら,尚更
なかなか,中々
なぜ,なぜか,何故,何故か
など,等
何げない,何気ない,なにげない
なにとぞ,何卒
ならびに,並びに
にぎやか,賑やか
にぎわう,賑わう
根元,根本,根もと
年俸,年棒
年齢,年令
のぞく,覗く
バーチャル,ヴァーチャル
ハードウェア,ハードウエア
ハードル,敷居
Python,PYTHON,python,パイソン
バイナリ,バイナリー
配布,配付
はがき,葉書,ハガキ
はじめとした,始めとした,初めとした
PC,パソコン
はたして,果たして
バッファ,バッファー
PHP,php,Php
秘けつ,秘訣
ひとつひとつ,一つ一つ,1つ1つ
ひとりひとり,一人一人,1人1人,独り独り,一人ひとり
ファームウェア,ファームウエア
ファイアウォール,ファイアーウォール
ファイナライザ,ファイナライザー
Facebook,FACEBOOK,facebook,フェイスブック
フォルダ,フォルダー
フラグ,フラッグ
プリンタ,プリンター
プログラマ,プログラマー
プログラミングスキルチェック,コーディングスキルチェック,コーディングチェック,スキルテスト
プロパティ,プロパティー
平たん,平坦
ポインタ,ポインター
ほうふつ,彷彿,髣髴
ほとんど,殆ど
Microsoft,MICROSOFT,microsoft,マイクロソフト
まい進,邁進
まいる,参る（「体が参る」など,動詞として意味をなす場合は漢字表記）
誠に,まことに
ますます,益々
また,又
まっすぐ,真っ直ぐ,真っすぐ
まったく,全く
まで,迄
マネジメント,マネージメント
マネジャー,マネージャー
まれ,稀,希
見いだす,見出す
自ら,みずから
ミドルウェア,ミドルウエア
皆さま,皆様
無駄,むだ
むやみ,無闇
めど,目処,目途
メモリ,メモリー
申し込み,申込み,申し込,申込
もしくは,若しくは
もちろん,勿論
もともと,元々
もはや,最早
もらう,貰う
やっかい,厄介
Yahoo,YAHOO,yahoo,ヤフー
ユーザー,ユーザ
YouTube,YOUTUBE,youtube,Youtube,ユーチューブ
よい,良い
ようす,様子
余計,よけい
よほど,余程
よろしく,宜しく
ライブラリ,ライブラリー
Laravel,LARAVEL,laravel,ララベル
律義,律儀
立派,りっぱ
流ちょう,流暢
Ruby,RUBY,ruby,ルビー
Ruby on Rails,RUBY ON RAILS,ruby on rails,Ruby on rails
レジスタ,レジスター
分かる,わかった,解った,判った,分った
わたし,私
われわれ,我々
